model,phase,magnitude_cm,force_N,episode,trigger_step,fired,success
OFT,C,8.0,0.1162,35,223,0,1
OFT,C,8.0,0.1162,36,224,1,1
OFT,C,8.0,0.1162,37,203,1,1
OFT,C,8.0,0.1162,38,222,0,1
OFT,C,8.0,0.1162,39,222,1,0
OFT,C,8.0,0.1162,40,210,1,0
OFT,C,8.0,0.1162,41,201,1,1
OFT,C,8.0,0.1162,42,228,0,1
OFT,C,8.0,0.1162,43,230,0,1
OFT,C,8.0,0.1162,44,213,0,1
OFT,C,8.0,0.1162,45,220,1,1
OFT,C,8.0,0.1162,46,205,1,1
OFT,C,8.0,0.1162,47,221,0,1
OFT,C,8.0,0.1162,48,229,0,1
OFT,C,8.0,0.1162,49,200,1,1
